id,dep_delayed_15min
0,0.043584574
1,0.033772867
2,0.08319487
3,0.28031546
4,0.24841504
5,0.08650253
6,0.056805026
7,0.12338078
8,0.12617719
9,0.26299956
10,0.57078207
11,0.23352015
12,0.07582135
13,0.147112
14,0.035904918
15,0.280028
16,0.07252246
17,0.23486131
18,0.42422238
19,0.005153657
20,0.12683786
21,0.09500274
22,0.3354435
23,0.12484076
24,0.13862884
25,0.24753141
26,0.0034094963
27,0.026407726
28,0.18370813
29,0.09333487
30,0.13652368
31,0.36472392
32,0.017268037
33,0.25157678
34,0.6753662
35,0.2239385
36,0.1709856
37,0.1577075
38,0.04103034
39,0.1514312
40,0.10558069
41,0.0626642
42,0.11860222
43,0.19858652
44,0.097349554
45,0.5517432
46,0.00037660683
47,0.19281334
48,0.7555112
49,0.052160088
50,0.3902985
51,0.038802236
52,0.21922533
53,0.40331003
54,0.33944187
55,0.042903095
56,0.2478768
57,0.34282443
58,0.046392255
59,0.13719797
60,0.23215014
61,0.081333384
62,0.16430798
63,0.22411169
64,0.12506177
65,0.12432117
66,0.011600882
67,0.11740663
68,0.10124758
69,0.26609376
70,0.004518087
71,0.3248695
72,0.3531725
73,0.42585477
74,0.6109434
75,0.23349208
76,0.080786444
77,0.11389617
78,0.07912388
79,0.09267004
80,0.11848683
81,0.23487027
82,0.03722829
83,0.09058818
84,0.13470232
85,0.00028346633
86,0.0899326
87,0.2209785
88,0.35232675
89,0.2248334
90,0.12091588
91,0.20895359
92,0.0755954
93,0.03826139
94,0.15840274
95,0.15487537
96,0.31167832
97,0.07301636
98,0.1094066
99,0.36458743
100,0.13142765
101,0.15961637
102,0.069451846
103,0.28227124
104,0.0031574278
105,0.09006047
106,0.3459289
107,0.02701249
108,0.0861474
109,0.15311635
110,0.08008407
111,0.20761624
112,0.86508846
113,0.037629385
114,0.069192246
115,0.14658907
116,0.084050946
117,0.6911448
118,0.09868347
119,0.32894507
120,0.31323174
121,0.23785582
122,0.15800181
123,0.19080372
124,0.23476478
125,0.036393493
126,0.050554473
127,0.03780687
128,0.08747064
129,0.5676591
130,0.27463567
131,0.11622583
132,0.021881618
133,0.19178629
134,0.066209756
135,0.2755539
136,0.3388906
137,0.09098346
138,0.01696968
139,0.040702447
140,0.3705611
141,0.24130957
142,0.2770891
143,0.23371612
144,0.06863613
145,0.1649297
146,0.23324262
147,0.15467194
148,0.056195486
149,0.2786769
150,0.7084453
151,0.16227628
152,0.10144626
153,0.12896644
154,0.07278211
155,0.11137789
156,0.34793383
157,0.20504062
158,0.21429174
159,0.04346903
160,0.06294323
161,0.47759736
162,0.8324801
163,0.088593595
164,0.2713608
165,0.05632377
166,0.23106322
167,0.0046281717
168,0.08554407
169,0.21922734
170,0.25052541
171,0.1287377
172,0.07973636
173,0.18376397
174,0.6021096
175,0.14854662
176,0.08476592
177,0.01639182
178,0.20660326
179,0.09327206
180,0.03203917
181,0.08091135
182,0.112696
183,0.6579364
184,0.17998463
185,0.31330445
186,0.21443903
187,0.3022708
188,0.4328129
189,0.32104886
190,0.2862636
191,0.45293632
192,0.20338283
193,0.12436058
194,0.26143134
195,0.06845682
196,0.11834946
197,0.086629994
198,0.32064745
199,0.27417257
200,0.25845042
201,0.27589846
202,0.27165526
203,0.0041289865
204,0.004573005
205,0.44982162
206,0.61560625
207,0.016062424
208,0.17829756
209,0.06655937
210,0.01675155
211,0.094803765
212,0.16940989
213,0.28490326
214,0.15525869
215,0.15986037
216,0.07942047
217,0.100955285
218,0.27681905
219,0.16699104
220,0.1965872
221,0.29869708
222,0.100510575
223,0.14940694
224,0.11026374
225,0.0698043
226,0.3343684
227,0.39662322
228,0.33760986
229,0.6444688
230,0.020899441
231,0.13402288
232,0.12971401
233,0.23246244
234,0.146142
235,0.08302035
236,0.013789034
237,0.27662295
238,0.13800274
239,0.07175469
240,0.17911232
241,0.31789905
242,0.12049878
243,0.05118831
244,0.10874216
245,0.1584081
246,0.3787483
247,0.32720613
248,0.6718956
249,0.27043396
250,0.10823025
251,0.03188007
252,0.036919866
253,0.08774226
254,0.4997405
255,0.19284871
256,0.046517786
257,0.049930036
258,0.16330461
259,0.003990413
260,0.29557487
261,0.04854527
262,0.35723883
263,0.28644624
264,0.057214394
265,0.18424475
266,0.23772247
267,0.09898898
268,0.13583581
269,0.22162239
270,0.042662147
271,0.21647905
272,0.26736134
273,0.029118944
274,0.43495852
275,0.092621066
276,0.040590614
277,0.27004611
278,0.106515646
279,0.29223195
280,0.10731072
281,0.44850495
282,0.13299754
283,0.032181185
284,0.2373413
285,0.40916374
286,0.17492606
287,0.088643074
288,0.21864237
289,0.01052324
290,0.13483225
291,0.13861506
292,0.320144
293,0.19167392
294,0.24598719
295,0.06439224
296,0.0027130805
297,0.22742338
298,0.093174875
299,0.17242864
300,0.26596615
301,0.29006532
302,0.10755151
303,0.29627326
304,0.1990016
305,0.24790461
306,0.06176733
307,0.13080613
308,0.28698134
309,0.17001635
310,0.2072847
311,0.24049737
312,0.022116417
313,0.20008916
314,0.10658477
315,0.10751821
316,0.10563541
317,0.11043548
318,0.338882
319,0.10830545
320,0.14628181
321,0.0127078025
322,0.08791528
323,0.14754051
324,0.21525498
325,0.40801576
326,0.0019337677
327,0.17989072
328,0.089486726
329,0.1794731
330,0.07655726
331,0.5114489
332,0.15620922
333,0.023046918
334,0.14737178
335,0.16390918
336,0.21939752
337,0.033680964
338,0.48940215
339,0.030157186
340,0.13710275
341,0.60114884
342,0.11984487
343,0.15588248
344,0.48827934
345,0.7174124
346,0.0958579
347,0.17512988
348,0.123064384
349,0.23989461
350,0.26269874
351,0.09493806
352,0.30435368
353,0.22598901
354,0.12680233
355,0.3710141
356,0.02433894
357,0.06511788
358,0.10390236
359,0.14984417
360,0.09355516
361,0.009018673
362,0.08861148
363,0.38512585
364,0.013847099
365,0.29061258
366,0.85535693
367,0.15477686
368,0.24149895
369,0.096306056
370,0.06593085
371,0.18002833
372,0.43048525
373,0.15401745
374,0.13985682
375,0.048154447
376,0.30103305
377,0.14097643
378,0.20551401
379,0.1339472
380,0.6353642
381,0.22202505
382,0.08381062
383,0.2644348
384,0.20597652
385,0.16620304
386,0.33250275
387,0.04656781
388,0.074941576
389,0.0362619
390,0.48698416
391,0.05250526
392,0.13026632
393,0.0007280237
394,0.27366886
395,0.14419419
396,0.0058833747
397,0.012211387
398,0.013825733
399,0.0544898
400,0.1818564
401,0.0537319
402,0.26299384
403,0.0009885192
404,0.10537829
405,0.0141598275
406,0.38262326
407,0.068815656
408,0.30013573
409,0.27881232
410,0.19645953
411,0.0015786919
412,0.18184662
413,0.14674275
414,0.32952672
415,0.103643134
416,0.31678534
417,0.09899253
418,0.18458264
419,0.42252454
420,0.22582929
421,0.029367067
422,0.007317855
423,0.040104415
424,0.20521112
425,0.17535818
426,0.21973945
427,0.1942348
428,0.32205188
429,0.06847993
430,0.22439532
431,0.09720526
432,0.008475472
433,0.11403133
434,0.12827897
435,0.1427497
436,0.14450058
437,0.8404322
438,0.2229109
439,0.13913028
440,0.13046797
441,0.091109596
442,0.11463405
443,0.2551686
444,0.4382437
445,0.06264949
446,0.2733052
447,0.075700566
448,0.10769918
449,0.501897
450,0.46112236
451,0.34954444
452,0.15207349
453,0.004823744
454,0.058440804
455,0.03472127
456,0.40109468
457,0.11595219
458,0.14973651
459,0.19241682
460,0.06264708
461,0.060043287
462,0.052132063
463,0.14002681
464,0.21037763
465,0.19339126
466,0.52991444
467,0.11750727
468,0.14309463
469,0.042694192
470,0.0033537864
471,0.16344929
472,0.2853482
473,0.26252502
474,0.18706782
475,0.13776153
476,0.036188293
477,0.1073052
478,0.18678045
479,0.3440001
480,0.13382687
481,0.22291246
482,0.14213137
483,0.22036497
484,0.30317456
485,0.11593972
486,0.13585986
487,0.28926733
488,0.08189768
489,0.15591526
490,0.57651293
491,0.8019608
492,0.24444166
493,0.14345735
494,0.20940009
495,0.19274627
496,0.11041859
497,0.015411652
498,0.054661818
499,0.19491065
500,0.51015604
501,0.104318336
502,0.16456655
503,0.19092174
504,0.19304606
505,0.15689723
506,0.40345168
507,0.08728024
508,0.034581434
509,0.19122064
510,0.084118806
511,0.22192033
512,0.52441704
513,0.06394638
514,0.07626597
515,0.4329816
516,0.1861351
517,0.29878637
518,0.17627008
519,0.13691549
520,0.010466957
521,0.34453738
522,0.2168992
523,0.30981213
524,0.09422604
525,0.123537466
526,0.06533263
527,0.00093351613
528,0.30015767
529,0.017528715
530,0.09574545
531,0.37974793
532,0.1054152
533,0.35368702
534,0.21633425
535,0.27883226
536,0.12526128
537,0.19718485
538,0.213624
539,0.15926331
540,0.4185912
541,0.27120593
542,0.30359888
543,0.8070721
544,0.16544019
545,0.7209313
546,0.017970493
547,0.31097043
548,0.115253665
549,0.2528462
550,0.4748521
551,0.031275332
552,0.17857055
553,0.28784177
554,0.09343352
555,0.32921976
556,0.058446206
557,0.069490544
558,0.14107467
559,0.06903744
560,0.19310434
561,0.06275746
562,0.3055382
563,0.1625981
564,0.042711977
565,0.35615498
566,0.1155127
567,0.31734595
568,0.14102538
569,0.0083224345
570,0.270898
571,0.02427733
572,0.2499173
573,0.4920112
574,0.19484408
575,0.044417728
576,0.00271477
577,0.0437828
578,0.0953673
579,0.52180684
580,0.08217258
581,0.70441675
582,0.06169267
583,0.25534514
584,0.48193884
585,0.20055807
586,0.15334049
587,0.15835284
588,0.28965273
589,0.26326963
590,0.4002655
591,0.14076392
592,0.13692851
593,0.05573247
594,0.10319925
595,0.450725
596,0.13353114
597,0.26255646
598,0.18255714
599,0.37041265
600,0.013371092
601,0.14491427
602,0.84601086
603,0.066277035
604,0.0122014815
605,0.1653454
606,0.028192911
607,0.052893832
608,0.22426043
609,0.35609457
610,0.3856332
611,0.010493111
612,0.10276676
613,0.12550896
614,0.096480034
615,0.14963801
616,0.13216275
617,0.039818306
618,0.38132712
619,0.16291095
620,0.650091
621,0.5162011
622,0.0042537972
623,0.04615722
624,0.0031322262
625,0.25261608
626,0.31708962
627,0.4411138
628,0.39039442
629,0.19183677
630,0.2767854
631,0.080160074
632,0.20803131
633,0.11729306
634,0.22018726
635,0.25511128
636,0.25079122
637,0.037068013
638,0.39031857
639,0.1771053
640,0.060927626
641,0.40796018
642,0.14460324
643,0.16343607
644,0.19606404
645,0.5017703
646,0.5933323
647,0.1689009
648,0.06851865
649,0.0030454018
650,0.20839863
651,0.06754315
652,0.09093277
653,0.20887502
654,0.1368211
655,0.16712181
656,0.11016793
657,0.20302565
658,0.17640656
659,0.108964786
660,0.036845066
661,0.2178414
662,0.22442682
663,0.23206118
664,0.42618155
665,0.12117412
666,0.20808585
667,0.04159405
668,0.13741362
669,0.2459188
670,0.1260612
671,0.22599247
672,0.3536967
673,0.9778767
674,0.034223452
675,0.3394946
676,0.24970596
677,0.3533429
678,0.15352687
679,0.06996782
680,0.07250578
681,0.0669751
682,0.44120827
683,0.018748201
684,0.059507437
685,0.24054001
686,0.19734845
687,0.06801076
688,0.69491595
689,0.14718914
690,0.654906
691,0.10295816
692,0.046679072
693,0.14655793
694,0.11479042
695,0.23216218
696,0.14824134
697,0.45277092
698,0.42722818
699,0.11140438
700,0.13801125
701,0.15575899
702,0.08866187
703,0.20664716
704,0.47190627
705,0.29700702
706,0.13299301
707,0.24219495
708,0.1932924
709,0.27066445
710,0.2506105
711,0.1334753
712,0.077841885
713,0.07994411
714,0.19103546
715,0.23322944
716,0.44079188
717,0.09909361
718,0.34467602
719,0.042299744
720,0.25559843
721,0.21092935
722,0.42483646
723,0.042178802
724,0.42009524
725,0.18354622
726,0.30315408
727,0.13179284
728,0.11628498
729,0.09842848
730,0.09941641
731,0.24140035
732,0.18168072
733,0.34935915
734,0.015455576
735,0.12986244
736,0.013450092
737,0.060334265
738,0.15601067
739,0.11115828
740,0.4403002
741,0.2991359
742,0.15812181
743,0.00082921574
744,0.11341313
745,0.06318834
746,0.20736858
747,0.5044537
748,0.35712865
749,0.11107325
750,0.27426878
751,0.27837807
752,0.12061426
753,0.08859864
754,0.21078478
755,0.025870647
756,0.10375563
757,0.030952971
758,0.25407705
759,0.20129283
760,0.04808181
761,0.15268715
762,0.015431528
763,0.15399835
764,0.48850983
765,0.5511052
766,0.039964087
767,0.3480751
768,0.8642689
769,0.11837456
770,0.1613582
771,0.12071714
772,0.0798106
773,0.24723282
774,0.41689137
775,0.13746002
776,0.08771223
777,0.25158712
778,0.13746414
779,0.5394543
780,0.046077646
781,0.14580712
782,0.4167795
783,0.21319515
784,0.16554216
785,0.00813713
786,0.2666582
787,0.09670656
788,0.21393105
789,0.030355524
790,0.1298352
791,0.21603131
792,0.05164606
793,0.09613184
794,0.12508065
795,0.70587075
796,0.0012552525
797,0.14414208
798,0.08836854
799,0.03321707
800,0.038201448
801,0.037967876
802,0.17448121
803,0.014191233
804,0.20570853
805,0.3271811
806,0.28687534
807,0.0025980622
808,0.040124614
809,0.114947915
810,0.035859175
811,0.14869723
812,0.14962398
813,0.3207819
814,0.20602766
815,0.13896304
816,0.43175805
817,0.101422735
818,0.18571033
819,0.50160885
820,0.043744747
821,0.15620591
822,0.3155163
823,0.13969776
824,0.25601763
825,0.0015817207
826,0.16461436
827,0.22350727
828,0.13266039
829,0.011878419
830,0.10876858
831,0.10015919
832,0.73407817
833,0.36728588
834,0.07857638
835,0.036343195
836,0.17321792
837,0.29691985
838,0.24536048
839,0.9054719
840,0.28389254
841,0.20862828
842,0.18322732
843,0.36614454
844,0.4138319
845,0.017695243
846,0.21299745
847,0.15126422
848,0.06319042
849,0.061934803
850,0.085902214
851,0.05708042
852,0.063014515
853,0.18838952
854,0.019778151
855,0.005653037
856,0.18523817
857,0.3239814
858,0.30531952
859,0.16321912
860,0.35394165
861,0.18042004
862,0.030450612
863,0.5739162
864,0.18271455
865,0.103343695
866,0.13301681
867,0.09149984
868,0.16323836
869,0.05161396
870,0.27800995
871,0.19630301
872,0.0013860092
873,0.04666058
874,0.8987061
875,0.0814039
876,0.017310143
877,0.33317155
878,0.18511145
879,0.3051123
880,0.31654453
881,0.018174455
882,0.01494939
883,0.16155688
884,0.34112045
885,0.13708784
886,0.5425694
887,0.05964964
888,0.9936684
889,0.0398314
890,0.077804156
891,0.09199543
892,0.16963317
893,0.046780594
894,0.18367445
895,0.18268397
896,0.0154968295
897,0.2626023
898,0.20988512
899,0.565822
900,0.24906841
901,0.09846841
902,0.06927756
903,0.12537086
904,0.0869064
905,0.2887651
906,0.3684031
907,0.24442741
908,0.12598321
909,0.056084253
910,0.01070965
911,0.40107396
912,0.025111187
913,0.34444395
914,0.12462526
915,0.09955098
916,0.35987136
917,0.02939069
918,0.4206884
919,0.070574485
920,0.043291204
921,0.19218002
922,0.23988512
923,0.35949695
924,0.1521921
925,0.22963113
926,0.025188653
927,0.0723716
928,0.7573951
929,0.8232902
930,0.047932506
931,0.1995157
932,0.03779701
933,0.030353002
934,0.25047737
935,0.007188681
936,0.28639153
